genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Female,81.2857,Right,DN,F-mini-ON,DJID_2101,200,0,0,0,30,30,115,115,12.6666666666667,3.33333333333333,NaN,NaN
WT,Female,81.2857,Right,DT,F-mini-ON,DJID_2101,266.666666666667,0.666667,3,0,30,30,115,858,16.6666666666667,2.66666666666667,NaN,NaN
WT,Female,81.2857,Right,DN,F-mini-ON,DJID_2101,266.666666666667,0,0,0,30,30,115,160,17.6666666666667,2,NaN,NaN
WT,Female,81.2857,Right,DN,F-mini-ON,DJID_2101,200,0,0.333333333333333,0,30,30,160,160,9,7,NaN,NaN
WT,Female,81.2857,Right,DN,F-mini-ON,DJID_2101,300,0,0.333333333333333,0,858,30,82,82,20.6666666666667,6,878.333333333333,NaN
WT,Female,81.2857,Right,DN,F-mini-ON,DJID_2101,200,0,0,0,30,30,115,30,19,0,NaN,NaN
WT,Male,37.4286,Left,DN,F-mini-ON,DJID_1126,433.333333333333,1.11111,8.33333333333333,0,1200,30,82,314,31.6666666666667,4,3028.125,NaN
WT,Male,37.4286,Left,VT,F-mini-ON,DJID_1126,233.333333333333,0,0,0,439,30,115,82,14.6666666666667,2.66666666666667,439,NaN
WT,Male,87.4286,Left,DN,F-mini-ON,DJID_1967,500,0,0,0,30,30,439,30,39.3333333333333,0,NaN,NaN
WT,Female,29.1429,Left,VN,F-mini-ON,DJID_2064,200,0,0,0,30,30,160,30,9,0,NaN,NaN
WT,Male,20.1429,Right,DT,F-mini-ON,DJID_2984,120,0,0,0,30,30,160,314,20,2.2,NaN,NaN
WT,Female,21,Right,VN,F-mini-ON,DJID_3055,200,0,0,0,30,30,224,30,7,0,NaN,NaN
WT,Female,28.5714,Right,VT,F-mini-ON,DJID_3081,180,0.708333,0,0,42,59,314,224,21,2.83333333333333,42,NaN
