genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,14.1429,Right,DN,OFF sustained alpha,DJID_2295,200,63.0556,6.66666666666667,57,1200,82,42,224,74.6666666666667,79,5005,NaN
WT,Male,14.1429,Right,DN,OFF sustained alpha,DJID_2295,266.666666666667,78.4444,23.3333333333333,60,314,858,30,30,81,80.6666666666667,435.153846153846,NaN
WT,Male,14.1429,Right,VT,OFF sustained alpha,DJID_2295,300,73.0556,10,79,224,30,30,439,67.3333333333333,130.666666666667,272,NaN
WT,Male,14.1429,Right,DT,OFF sustained alpha,DJID_2295,233.333333333333,60.5139,8,54.25,439,82,30,858,65.3333333333333,69.6666666666667,939,NaN
WT,Female,14.5714,Left,VN,OFF sustained alpha,DJID_2292,366.666666666667,96.8333,7.66666666666667,104.666666666667,224,30,30,224,76.3333333333333,145,316,NaN
WT,Female,14.5714,Left,DT,OFF sustained alpha,DJID_2292,266.666666666667,102.444,12.6666666666667,85.6666666666667,439,115,30,314,92,120.666666666667,3089.49999999999,NaN
WT,Female,14.5714,Left,DT,OFF sustained alpha,DJID_2292,266.666666666667,90.5556,18.3333333333333,70,314,30,858,224,122.666666666667,112,1590,NaN
WT,Female,14.5714,Left,DT,OFF sustained alpha,DJID_2292,266.666666666667,93,13.6666666666667,65.3333333333333,224,160,42,439,94.3333333333333,106.333333333333,411.428571428571,NaN
WT,Female,14.5714,Left,VN,OFF sustained alpha,DJID_2292,366.666666666667,91.2778,8,75.3333333333333,314,1200,30,614,86,116,468.285714285714,NaN
WT,Female,14.5714,Left,VN,OFF sustained alpha,DJID_2292,300,91.7222,5.66666666666667,103.666666666667,224,30,30,314,93.6666666666667,153.666666666667,243.428571428571,NaN
WT,Female,14.5714,Left,DT,OFF sustained alpha,DJID_2292,266.666666666667,88.7778,17.6666666666667,59.3333333333333,115,115,30,314,99,95.6666666666667,146.232142857143,NaN
WT,Female,14.5714,Left,VN,OFF sustained alpha,DJID_2292,166.666666666667,57.6111,25.6666666666667,39,314,82,30,224,70,77.3333333333333,425.774193548387,NaN
WT,Female,14.5714,Left,DN,OFF sustained alpha,DJID_2291,300,120.194,31.6666666666667,129,160,30,30,1200,113.5,178,190.755395683453,NaN
WT,Female,14.5714,Left,DT,OFF sustained alpha,DJID_2291,233.333333333333,89.8889,39.6666666666667,46.6666666666667,439,1200,115,314,97,101,1926.5,NaN
