genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,37.4286,Right,DN,ON transient small RF,DJID_2927,300,16.2778,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[31.666666666666668,47.666666666666664,57.666666666666664,46,44.666666666666664,36.666666666666664,35.333333333333336,36.666666666666664,45.666666666666664,37.333333333333336,28.666666666666668,21.333333333333332]","[1.0801234497346432,2.48327740429189,7.4274266517190641,4.9497474683058327,1.4719601443879744,3.62859017617954,8.1342895612749526,2.1602468994692865,4.1432676315520176,4.5460605656619517,2.1602468994692869,4.0207793606049389]","[5,6.333333333333333,7.666666666666667,8,9,8.6666666666666661,10,11,10.333333333333334,9.6666666666666661,18,22.333333333333332]","[1.8708286933869707,0.816496580927726,1.6329931618554518,2.82842712474619,2.1213203435596424,2.1602468994692865,2.5495097567963922,1.2247448713915889,2.4832774042918895,1.0801234497346435,3.9370039370059051,1.7795130420052188]",21.3333333333333,5,1200,30,59,1200,57.6666666666667,22.3333333333333,1697.45454545455,NaN
WT,Female,68.1429,Right,VN,ON transient small RF,DJID_1724,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,0,0,0,0,0,0,0,1.6666666666666667,0.33333333333333331]","[0,0,0,0,0,0,0,0,0,0,1.0801234497346432,0.408248290463863]","[0,0,4,7.333333333333333,15.666666666666666,25,27.333333333333332,26,21.333333333333332,7,4,2]","[0,0,2.4494897427831779,2.0412414523193148,0.40824829046386296,0,1.7795130420052188,1.8708286933869707,4.2622372841814729,3.2403703492039297,2.5495097567963922,0.70710678118654746]",0,0,30,30,858,224,1.66666666666667,27.3333333333333,NaN,NaN
WT,Male,12.5714,Left,VT,ON transient small RF,DJID_3059,366.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,1.6666666666666667,9.6666666666666661,27.333333333333332,36.666666666666664,36.666666666666664,29,23,16,13.666666666666666,13.666666666666666,10.333333333333334]","[0,0.816496580927726,3.62859017617954,2.48327740429189,1.4719601443879744,1.4719601443879744,1.2247448713915889,0,0.70710678118654746,0.40824829046386296,0.816496580927726,1.4719601443879746]","[0,0,0,0,0.66666666666666663,0,0,0,0.33333333333333331,0.33333333333333331,0.33333333333333331,4]","[0,0,0,0,0.816496580927726,0,0,0,0.408248290463863,0.408248290463863,0.408248290463863,2.5495097567963922]",0,0,30,30,115,1200,36.6666666666667,4,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,17.1429,Left,DN,ON transient small RF,DJID_3104,116.666666666667,0.138889,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[2.3333333333333335,8.8333333333333339,10,12.166666666666666,10,8.1666666666666661,5,1.6666666666666667,1.1666666666666667,0.83333333333333337,1,0.66666666666666663]","[0.78315600829804877,1.1105554165971787,1.16619037896906,2.6894857005259079,1.019803902718557,1.036018017861337,0.565685424949238,0.61101009266077855,0.52281290471193742,0.52281290471193742,0.39999999999999997,0.73029674334022143]","[0.33333333333333331,0,0.16666666666666666,0,0.33333333333333331,0.33333333333333331,0,0.16666666666666666,1.5,0.33333333333333331,0.16666666666666666,0]","[0.36514837167011072,0,0.18257418583505536,0,0.36514837167011072,0.23094010767585033,0,0.18257418583505536,0.469041575982343,0.23094010767585033,0.18257418583505536,0]",0.666666666666667,0,1200,42,82,439,12.1666666666667,1.5,2372,NaN
Trarg1(Tusc5-eGFP/WT),Female,78,Left,DN,ON transient small RF,DJID_2086,416.666666666667,3.33333,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[6.166666666666667,10.333333333333334,20.2,25.333333333333332,32.2,34.5,37.333333333333336,30.333333333333332,28.2,23.5,24.4,22]","[1.3089435944047907,1.487727573628093,1.5968719422671311,1.0456258094238748,1.7818529681205462,3.6083237105337425,5.41602560309064,3.0940803695659445,3.9274673773310962,2.6645825188948455,3.03315017762062,2.4331050121192876]","[2.6666666666666665,0.16666666666666666,0,0,0,0.33333333333333331,0,0,0.2,0.66666666666666663,0,0]","[1.4329456840136452,0.18257418583505536,0,0,0,0.36514837167011072,0,0,0.223606797749979,0.73029674334022143,0,0]",6.16666666666667,0,30,59,224,30,37.3333333333333,2.66666666666667,NaN,NaN
WT,Female,22.4286,Right,VN,ON transient small RF,DJID_3075,83.3333333333333,0.0277778,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,2,4.166666666666667,5.333333333333333,4,1.3333333333333333,1.1666666666666667,0.83333333333333337,0.5,0,0]","[0,0,1.019803902718557,0.99666109251507029,0.67330032922413852,1.16619037896906,0.54160256030906406,0.71647284200682249,0.7164728420068226,0.54772255750516607,0,0]","[0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0]","[0,0,0.18257418583505536,0,0,0,0,0,0,0,0,0]",0,0,30,30,115,59,5.33333333333333,0.166666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,25,Right,VN,ON transient small RF,DJID_3052,300,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[15.333333333333334,19.666666666666668,18,13.666666666666666,16.666666666666668,10.333333333333334,8,4.666666666666667,2.6666666666666665,1,0.33333333333333331,0.33333333333333331]","[1.0801234497346435,1.0801234497346432,0.70710678118654746,0.40824829046386296,1.0801234497346432,1.0801234497346435,0.70710678118654746,0.408248290463863,1.0801234497346435,1.2247448713915889,0.408248290463863,0.408248290463863]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0.333333333333333,0,858,30,42,30,19.6666666666667,0,919,NaN
Trarg1(Tusc5-eGFP/WT),Male,20.8571,Left,VN,ON transient small RF,DJID_3110,133.333333333333,0,"[30,136,243,349,455,562,668,775,881,987,1094,1200]","[0,3.6666666666666665,5,0,0,0.33333333333333331,0,0,0,0,0,0]","[0,1.0801234497346432,0.70710678118654746,0,0,0.408248290463863,0,0,0,0,0,0]","[0,0.66666666666666663,0,0,0,0,0,0,0,0,1.3333333333333333,0]","[0,0.816496580927726,0,0,0,0,0,0,0,0,1.6329931618554521,0]",0,0,30,30,243,1094,5,1.33333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,63,Right,DN,ON transient small RF,DJID_2787,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0.66666666666666663,0,1.3333333333333333,7,10.333333333333334,13.666666666666666,7,8.3333333333333339,7,8]","[0,0,0.816496580927726,0,0.40824829046386296,3.0822070014844885,3.62859017617954,4.1432676315520167,2.5495097567963922,2.4832774042918895,1.4142135623730949,0.70710678118654746]","[0,0,0,0,0,0,0.33333333333333331,0,0,0,0,0]","[0,0,0,0,0,0,0.408248290463863,0,0,0,0,0]",0,0,30,30,314,224,13.6666666666667,0.333333333333333,NaN,NaN
WT,Male,22.7143,Left,VN,ON transient small RF,DJID_3149,366.666666666667,0.555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,4,8.3333333333333339,21,26.333333333333332,27.666666666666668,27.666666666666668,20,17,15.666666666666666,10.333333333333334,8.6666666666666661]","[0,1.2247448713915889,1.7795130420052188,1.2247448713915889,0.408248290463863,1.6329931618554521,1.4719601443879746,1.8708286933869707,0.70710678118654746,1.0801234497346435,1.6329931618554521,1.7795130420052188]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",0,0,30,30,160,30,27.6666666666667,0,NaN,NaN
WT,Female,81.2857,Left,DN,ON transient small RF,DJID_2101,316.666666666667,0.0833333,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.83333333333333337,2.6666666666666665,6.833333333333333,16.5,19.5,19.5,15.666666666666666,14.5,11.666666666666666,11.333333333333334,10.5,9.5]","[0.43969686527576396,0.67330032922413852,0.82056890833941143,1.1916375287812984,0.61644140029689753,1.3190905958272916,1.1195237082497775,0.469041575982343,0.54160256030906406,0.46188021535170065,0.61644140029689753,0.54772255750516607]","[0,0,0.5,0,0,0,0.33333333333333331,0,0,0,0.16666666666666666,0]","[0,0,0.54772255750516607,0,0,0,0.36514837167011072,0,0,0,0.18257418583505536,0]",0.833333333333333,0,30,30,115,59,19.5,0.5,NaN,NaN
Trarg1(Tusc5-eGFP/WT),Male,19.7143,Right,VT,ON transient small RF,DJID_3106,333.333333333333,0.0555556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,1.3333333333333333,11.666666666666666,18.333333333333332,24.666666666666668,28.666666666666668,25.666666666666668,22.666666666666668,16,17,14.666666666666666]","[0,0,0.40824829046386296,4.96655480858378,3.1885210782848317,4.0207793606049389,2.9439202887759492,2.6770630673681683,3.3416562759605704,0.70710678118654746,1.4142135623730949,0.816496580927726]","[0,0,0.33333333333333331,0.33333333333333331,0,0,0,0.33333333333333331,1.3333333333333333,0,0.66666666666666663,0]","[0,0,0.408248290463863,0.408248290463863,0,0,0,0.408248290463863,0.816496580927726,0,0.408248290463863,0]",0,0,30,30,224,439,28.6666666666667,1.33333333333333,NaN,NaN
WT,Male,23.4286,Left,DN,ON transient small RF,DJID_3275,433.333333333333,0.166667,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[23.666666666666668,27.666666666666668,22.666666666666668,20.333333333333332,27.333333333333332,5.666666666666667,17.333333333333332,10.333333333333334,11.666666666666666,6,12.666666666666666,9]","[6.0138728508895722,7.7888809636986149,13.952299690970898,6.4161255183067194,3.3416562759605695,6.9402209378856705,1.4719601443879746,3.488074922742725,0.816496580927726,4.2426406871192848,1.4719601443879746,5.52268050859363]","[0,0,0,0,0,0,1,0,0,0,1.6666666666666667,0]","[0,0,0,0,0,0,0.70710678118654746,0,0,0,2.0412414523193148,0]",5.66666666666667,0,160,30,42,858,27.6666666666667,1.66666666666667,175.068181818182,NaN
